Title,Artist,Year,Ranking,URL,Lyrics
Like a Rolling Stone,Bob Dylan,1965,1,https://www.genius.com/Bob-Dylan-Like-a-Rolling-Stone-lyrics," once upon a time you dressed so fine threw the bums a dime in your prime, didn t you? people call, say  beware doll, you re bound to fall you thought they were all a-kiddin  you you used to laugh about everybody that was hangin  out now you don t talk so loud now you don t seem so proud about having to be scrounging your next meal how does it feel? how does it feel? to be without a home? like a complete unknown? like a rolling stone? aw, you ve gone to the finest school all right, miss lonely but ya know ya only used to get juiced in it nobody s ever taught ya how to live out on the street and now you’re gonna have to get used to it you say you never compromise with the mystery tramp, but now you realize he s not selling any alibis as you stare into the vacuum of his eyes and say, “do you want to make a deal?   how does it feel? how does it feel? to be on your own with no direction home a complete unknown like a rolling stone? aw, you never turned around to see the frowns on the jugglers and the clowns when they all did tricks for you never understood that it ain t no good you shouldn t let other people get your kicks for you you used to ride on a chrome horse with your diplomat who carried on his shoulder a siamese cat ain t it hard when you discover that he really wasn t where it s at after he took from you everything he could steal? how does it feel? how does it feel? to hang on your own with no direction home like a complete unknown like a rolling stone?  aw, princess on the steeple and all the pretty people they re all drinkin , thinkin  that they got it made exchangin  all precious gifts but you d better take your diamond ring, ya better pawn it, babe you used to be so amused at napoleon in rags and the language that he used go to him now, he calls ya, ya can t refuse when ya ain t got nothin , you got nothin  to lose you re invisible now, ya got no secrets to conceal how does it feel? aw, how does it feel? to be on your own with no direction home like a complete unknown like a rolling stone? "
(I Can't Get No) Satisfaction,The Rolling Stones,1965,2,https://www.genius.com/The-Rolling-Stones-I-Cant-Get-No-Satisfaction-lyrics," i can t get no satisfaction i can t get no satisfaction cause i try and i try and i try and i try i can t get no, i can t get no when i m driving in my car and that man comes on the radio and he s telling me more and more about some useless information supposed to fire my imagination i can t get no, oh no, no, no! hey, hey, hey!  that s what i ll say! i can t get no satisfaction i can t get no satisfaction cause i try, and i try, and i try, and i try i can t get no, i can t get no when i m watching my t vand a man comes on and tells me how white my shirts can be well he can t be a man  cause he doesn t smoke the same cigarettes as me i can t get no, oh no, no, no hey, hey, hey, that s what i say i can t get no satisfaction i can t get no girl reaction cause i try, and i try, and i try, and i try i can t get no, i can t get no when i m riding  round the world and i m doing this and i m signing that and i m trying to make some girl who tells me baby, better come back, maybe next week cause you see, i m on a losing streak i can t get no, oh no, no, no hey, hey, hey!  that s what i ll say! i can t get no, i can t get no, i can t get no i can t get no satisfaction no satisfaction, no satisfaction, no satisfaction i can t get no"
Imagine,John Lennon,1971,3,https://www.genius.com/John-Lennon-Imagine-lyrics," imagine there s no heaven it s easy if you try no hell below us above us, only sky imagine all the people living for today iimagine there s no countries it isn t hard to do nothing to kill or die for and no religion too imagine all the people living life in peace you you may say i m a dreamer but i m not the only one i hope someday you ll join us and the world will be as one imagine no possessions i wonder if you can no need for greed or hunger a brotherhood of man imagine all the people sharing all the world you you may say i m a dreamer but i m not the only one i hope someday you ll join us and the world will live as one"
What's Going On,Marvin Gaye,1971,4,https://www.genius.com/Marvin-Gaye-Whats-Going-On-lyrics," hey, hey-hey hey, what s happenin ? hey, brother, what s happenin ? boy, this is a groovy party man, i can dig it yeah, brother, solid, right on what s happenin ? hey, man, what s happening? woo everything is everything we re gonna do a get down today, boy, i ll tell ya mother, mother there s too many of you crying brother, brother, brother there s far too many of you dying you know we ve got to find a way to bring some loving here today, yeah father, father we don t need to escalate you see, war is not the answer for only love can conquer hate you know we ve got to find a way to bring some loving here today, oh  picket lines  and picket signs don t punish me  with brutality talk to me , so you can see oh, what s going on what s going on yeah, what s going on oh, what s going on ah-ah-ah-ah woo , woo ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya woo , woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ba-da-boo-doo, boo-boo-boo-doo, boo-boo-boo ba-da-boo-boo-boo-doo, boo-boo-boo-ba-ba-do mother, mother everybody thinks we re wrong oh, but who are they to judge us simply  cause our hair is long? oh, you know we ve got to find a way to bring some understanding here today, oh-oh picket lines  and picket signs don t punish me  with brutality come on, talk to me , so you can see oh, what s going on yeah, what s going on tell me what s going on i ll tell you what s going on woo-ooh-ooh-ooh ah-ya-ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya-ya woo, woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ba-da-boo-doo, boo-boo-boo-doo ba-da-boo-boo-boo-doo, ba-da-da-da-da-da-da woo ah-ya-ya-ya-ya-ya-ya-ya-ya-ya-ya woo listen, ah-ya-ya-ya-ya-ya-ya-ya da-boo-doo, boo-boo-boo-doo da-boo-boo-doo, boo-boo-boo"
Respect,Aretha Franklin,1967,5,https://www.genius.com/Aretha-Franklin-Respect-lyrics," what you want, baby, i got it what you need, do you know i got it? all i m askin  is for a little respect when you come home hey baby when you get home mister i ain t gonna do you wrong while you re gone ain t gon  do you wrong  cause i don t wanna all i m askin  is for a little respect when you come home baby when you get home yeah i m about to give you all of my money and all i m askin  in return, honey is to give me my propers when you get home  yeah, baby when you get home yeah ooh, your kisses, sweeter than honey and guess what?  so is my money all i want you to do for me, is give it to me when you get home yeah baby whip it to me when you get home, now r-e-s-p-e-c-t, find out what it means to me r-e-s-p-e-c-t, take care of t-c-b a little respect whoa, babe a little respect i get tired keep on tryin  you re runnin  out of fools and i ain t lyin  start when you come home or you might walk in and find out i m gone i gotta have a little respect"
Good Vibrations,The Beach Boys,1966,6,https://www.genius.com/The-Beach-Boys-Good-Vibrations-lyrics," i-i love the colorful clothes she wears and the way the sunlight plays upon her hair i hear the sound of a gentle word on the wind that lifts her perfume through the air i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations close my eyes, she s somehow closer now softly smile, i know she must be kind when i look in her eyes she goes with me to a blossom world i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations i m pickin  up good vibrations she s giving me excitations  i don t know where but she sends me there gotta keep those lovin  good vibrations a-happenin  with her gotta keep those lovin  good vibrations a-happenin  with her gotta keep those lovin  good vibrations a-happenin good, good, good, good vibrations she s giving me excitations good, good, good, good vibrations nah-nah-nah-nah-nah, nah-nah-nah nah-nah-nah-nah-nah, nah-nah-nah nah-nah-nah-nah-nah, nah-nah-nah nah-nah-nah-nah-nah, nah-nah-nah "
Johnny B. Goode,Chuck Berry,1958,7,https://www.genius.com/Chuck-Berry-Johnny-B-Goode-lyrics," deep down in louisiana close to new orleans way back up in the woods among the evergreens there stood a log cabin made of earth and wood where lived a country boy named johnny b. goode who never ever learned to read or write so well but he could play a guitar just like a ringin  a bell go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go johnny b. goode he used to carry his guitar in a gunny sack go sit beneath the tree by the railroad track oh, the engineers would see him sitting in the shade strummin  with the rhythm that the drivers made people passing by, they would stop and say oh, my, but that little country boy could play go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go go, johnny, go, go johnny b. goode his mother told him,  someday you will be a man and you will be the leader of a big ol  band many people coming from miles around to hear you play your music when the sun go down maybe someday your name will be in lights sayin   johnny b. goode tonight  go, go go, johnny, go go, go, go, johnny, go go, go, go, johnny, go go, go, go, johnny, go go, johnny b. goode"
Hey Jude,The Beatles,1968,8,https://www.genius.com/The-Beatles-Hey-Jude-lyrics," hey, jude, don t make it bad take a sad song and make it better remember to let her into your heart then you can start to make it better hey, jude, don t be afraid you were made to go out and get her the minute you let her under your skin then you begin to make it better and anytime you feel the pain, hey, jude, refrain don t carry the world upon your shoulders for well you know that it s a fool who plays it cool by making his world a little colder na-na-na-na-na, na-na-na-na hey, jude, don t let me down you have found her, now go and get her remember  to let her into your heart then you can start to make it better so let it out and let it in, hey, jude, begin you re waiting for someone to perform with and don t you know that it s just you, hey, jude, you ll do the movement you need is on your shoulder na-na-na-na-na, na-na-na-na, yeah hey, jude, don t make it bad take a sad song and make it better remember to let her under your skin then you ll begin to make it better, better, better, better, better, better, oh yeah, yeah-yeah-yeah-yeah-yeah-yeah na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na , na-na-na-na, hey, jude na-na-na-na-na-na-na , na-na-na-na, hey, jude na-na  na-na-na-na-na , na-na-na-na, hey, jude hey, jude, hey, jude wow na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude jude, jude, jude, jude, jude, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na , na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude na-na-na-na-na-na-na, na-na-na-na, hey, jude"
Smells Like Teen Spirit,Nirvana,1991,9,https://www.genius.com/Nirvana-Smells-Like-Teen-Spirit-lyrics," load up on guns, bring your friends it s fun to lose and to pretend she s over-bored and self-assured oh no, i know a dirty word hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido, yeah hey, yay i m worse at what i do best and for this gift, i feel blessed our little group has always been and always will until the end hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido, yeah hey, yay and i forget just why i taste oh yeah, i guess it makes me smile i found it hard, it s hard to find oh well, whatever, never mind hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello, how low hello, hello, hello with the lights out, it s less dangerous here we are now, entertain us i feel stupid and contagious here we are now, entertain us a mulatto, an albino a mosquito, my libido a denial, a denial a denial, a denial a denial, a denial a denial, a denial a denial"
What'd I Say,Ray Charles,1959,10,https://www.genius.com/Ray-Charles-Whatd-I-Say-lyrics," hey mama, don t you treat me wrong come and love your daddy all night long alright now, hey hey, alright see the girl with the diamond ring she knows how to shake that thing alright now now now, hey hey, hey hey tell your mama, tell your pa i m gonna send you back to arkansas oh yes, ma am, you don t do right, don t do right when you see me in misery come on, baby, see about me now yeah, alright, alright, ah, play it, boy when you see me in misery come on, baby, see about me now yeah, hey hey, alright see the girl with the red dress on she can do the birdland all night long yeah yeah, what d i say, alright well, tell me what d i say, yeah tell me what d i say right now tell me what d i say tell me what d i say right now tell me what d i say tell me what d i say, yeah and i wanna know baby, i wanna know right now and-a i wanna know and i wanna know right now, yeah and-a i wanna know said i wanna know, yeah what?  what s that?  what s that?  what s that?  alright hey  ho  hey  ho  hey  ho oh, one more time say it one more time right now say it one more time now say it one more time, yeah say it one more time say it one more time, yeah  hey  ho  hey  ho  hey  ho ah!  make me feel so good make me feel so good now, yeah whoa, baby make me feel so good, yeah make me feel so good make me feel so good, yeah huh  ho  huh  ho  huh  ho  huh ah, it s alright said that it s alright right now said that it s alright said that it s alright, yeah said that it s alright said that it s alright whoa, shake that thing now baby, shake that thing now now baby, shake that thing baby, shake that thing right now baby, shake that thing baby, shake that thing whoa, i feel alright now, yeah said i feel alright now whoa tell you i feel alright, yeah said i feel alright baby, i feel alright "
